Municípios,Atenção Primária,Atenção Secundária,Total de psicólogos,Porcentagem do total,Qual nível predomina?,População,Pop/psi
FRECHEIRINHA,3,4,7,"4,55",Secundária ,"16.362,00","2337,43"
IRAUCUBA,2,5,7,"4,55",Secundária,"24.751,00","3535,86"
PIRES FERREIRA,3,0,3,"1,95",Primária ,"10.952,00","3650,67"
IPU,3,5,8,"5,19",Secundária ,"42.968,00","5371,00"
GRACA,3,1,4,"2,60",Primária ,"14.174,00","3543,50"
CARIRE,1,4,5,"3,25",Secundária ,"18.075,00","3615,00"
ALCANTARAS,2,0,2,"1,30",Primária ,"11.754,00","5877,00"
MASSAPE,2,1,3,"1,95",Primária ,"39.633,00","13211,00"
VARJOTA,4,4,8,"5,19",Igual ,"18.660,00","2332,50"
MERUOCA,4,0,4,"2,60",Primária ,"15.749,00","3937,25"
URUOCA,3,0,3,"1,95",Primária ,"14.243,00","4747,67"
COREAU,3,1,4,"2,60",Primária ,"21.438,00","5359,50"
SENADOR SA,4,3,7,"4,55",Primária ,"7.519,00","1074,14"
PACUJA,2,0,2,"1,30",Primária ,"6.345,00","3172,50"
MORAUJO,1,1,2,"1,30",Igual ,"8.516,00","4258,00"
CATUNDA,1,1,2,"1,30",Igual ,"10.817,00","5408,50"
MUCAMBO,0,0,0,"0,00",Não se aplica ,"14.009,00","0,00"
GROAIRAS,0,3,3,"1,95",Secundária ,"11.313,00","3771,00"
RERIUTABA,0,5,5,"3,25",Secundária ,"19.059,00","3811,80"
SANTANA DO ACARAU,0,1,1,"0,65",Secundária,"41.647,00","41647,00"
SANTA QUITERIA,8,2,10,"6,49",Primária ,"32.043,00","3204,30"
SOBRAL,18,37,55,"35,71",Secundária ,"215.286,00","3914,29"
HIDROLANDIA,2,2,4,"2,60",Igual ,"18.225,00","4556,25"
FORQUILHA,2,3,5,"3,25",Secundária ,"25.127,00","5025,40"